Time,Mag,Error
50397.440162,-5.593,0.052
50399.451678,-5.592,0.075
50401.437986,-5.613,0.038
50405.305185,-5.6,0.036
50406.304525,-5.618,0.037
50407.339641,-5.623,0.05
50409.309352,-5.614,0.063
50410.385995,-5.722,0.045
50411.387801,-5.583,0.043
50412.447083,-5.744,0.152
50416.494271,-5.664,0.056
50417.513403,-5.499,0.086
50419.300185,-5.663,0.061
50419.356019,-5.646,0.041
50420.352361,-5.641,0.025
50422.464282,-5.658,0.028
50424.310706,-5.66,0.069
50425.503715,-5.681,0.035
50426.349294,-5.577,0.023
50428.425880,-5.66,0.035
50431.331910,-5.639,0.032
50432.360475,-5.693,0.024
50433.372731,-5.626,0.056
50435.380185,-5.695,0.028
50437.334062,-5.636,0.041
50438.374560,-5.652,0.062
50439.511296,-5.636,0.059
50445.378808,-5.669,0.025
50448.349340,-5.693,0.174
50449.286389,-5.635,0.027
50450.472025,-5.65,0.029
50451.404826,-5.632,0.025
50452.364074,-5.635,0.023
50453.386319,-5.76,0.043
50455.465625,-5.669,0.039
50456.513310,-5.888,0.326
50461.312836,-5.691,0.022
50462.315775,-5.6,0.071
50463.502720,-5.666,0.051
50467.336944,-5.744,0.041
50468.357755,-5.536,0.124
50470.424896,-5.759,0.047
50478.511586,-5.766,0.035
50479.447095,-5.736,0.03
50484.391238,-5.669,0.031
50494.480382,-5.717,0.042
50497.380012,-5.681,0.04
50502.523310,-5.896,0.165
50509.521771,-5.754,0.079
50519.328229,-5.729,0.064
50522.263148,-5.757,0.031
50527.330984,-5.828,0.083
50530.422685,-5.871,0.299
50534.308391,-5.741,0.048
50539.397025,-5.715,0.036
50542.395301,-6.161,0.129
50546.390926,-5.729,0.035
50553.330475,-5.741,0.043
50557.412836,-5.769,0.1
50565.341065,-5.738,0.035
50569.371007,-5.742,0.051
50577.243137,-5.743,0.076
50581.249282,-5.77,0.033
50595.234595,-5.762,0.046
50600.279780,-5.768,0.042
50607.205440,-5.74,0.022
50614.228935,-5.576,0.128
50619.221991,-5.799,0.06
50632.199491,-5.857,0.046
50639.561759,-5.812,0.043
50642.509815,-5.8,0.041
50648.553819,-5.779,0.061
50652.567488,-5.833,0.049
50657.494699,-5.774,0.043
50659.613576,-5.819,0.028
50661.627766,-5.902,0.067
50669.499329,-5.827,0.032
50670.652176,-5.876,0.085
50675.466667,-5.196,0.545
50679.427060,-5.865,0.077
50680.605833,-5.74,0.035
50682.493646,-5.886,0.089
50686.563067,-5.831,0.058
50689.599491,-5.769,0.028
50701.592801,-5.765,0.029
50704.576887,-5.737,0.025
50715.489398,-5.812,0.042
50718.387141,-5.781,0.037
